comment_id,cleaned_text,token_count
41,nadiem makarim langsung divonis tahun rpm denda rpm uang pengganti sementara lihat kasus dadan hindayana eks kepala bgn yang korupsi program makan bergizi gratis baru ditersangkakan mark up gedtapi prosesnya masih santaisantai aja kok beda treatmentnya ya,21
42,qodari evaluasi program mbg fokus pada tata kelola dan kualitas layanan jakarta – pemerintah terus melakukan evaluasi terhadap pelaksanaan program makan bergizi gratis mbg untuk memastikan program berjalan efektif efisien dan tepat sasaran kepala badan komunikasi,15
43,dampak yang ditimbulkan menurut tulisan tersebut ​jika kepakaran diabaikan dan akomodasi politik lebih diutamakan tulisan tersebut menjabarkan beberapa dampak nyata ​pembangunan infrastruktur yang kurang efektif lahirnya proyekproyek infrastruktur fisik yang selesai,15
44,eks menkeu fuad bawazier prediksi program mbg makin sempurna di tahun ketiga jakarta — mantan menteri keuangan ri fuad bawazier menilai penyelenggaraan program makan bergizi gratis mbg yang dimulai pada awal tahun akan semakin matang pada tahun ketiga menurutnya program,15
45,juta warga indonesia sakit akibat makanan bpom bentuk kader sapa badan pengawas obat dan makanan bpom meluncurkan gerakan kader sosialisasi sadar pangan aman sapa berbasis budaya sebagai upaya memperkuat kesadaran masyarakat terhadap keamanan pangan,21
46,mbg watch selamatkan apbn mbg harus disetop sampai aturan selesai eddy wijaya dan peneliti ti indonesia yang juga anggota koalisi mbg watch agus sarwono berbincang terkait program makan bergizi gratis mbg di podcast edshareon eddy sharing and discussion,21
47,sobat panen akhirakhir ini sadar gak kalau harga daging ayam dan telur lagi murahmurahnya menteri perdagangan budi santoso menjelaskan kalau penurunan harga di bawah het ini terjadi karena dua hal berhentinya penyerapan dari program makan bergizi gratis mbg selama,13
48,wakil ketua dpr ri saan mustopa mendorong badan gizi nasional bgn memaksimalkan penyerapan hasil produk umkm untuk program makan bergizi gratis mbg saan menjelaskan penyerapan hasil umkm akan memberikan multiplier effect ekonomi hasilhasil dari…,15
49,baca selengkapnya libur sekolah membawa perubahan pada pasokan bahan pokok di pasar padaherang kabupaten pangandaran pedagang menyebut harga telur dan ayam turun karena liburnya program makan bergizi gratis mbg sehingga warga lebih lega berbelanja,16
50,anggota komisi ii dpr ri romy soekarno mengusulkan skema baru program makan bergizi gratis mbg dengan menyalurkan dana sebesar rp per hari langsung ke rekening orang tua siswa melalui kartu atm khusus usulan ini bertujuan agar orang tua dapat mengelola dana tersebut,31
51,vonis tahun penjara terhadap nadiem makarim dalam perkara korupsi pengadaan chromebook menjadi perhatian publik dan memicu perbincangan luas di media sosial di platform x sejumlah warganet mulai membandingkan putusan tersebut dengan proses hukum dugaan korupsi program makan,21
52,jakarta – menteri keuangan purbaya yudhi sadewa menyatakan dukungan pada rencana pemangkasan anggaran program makan bergizi gratis mbg yang tengah disiapkan oleh badan gizi nasional bgn baca selengkapnya,21
53,jakarta – ketua dewan ekonomi nasional den luhut binsar pandjaitan mengakui perencanaan makan bergizi gratis mbg belum disiapkan secara matang hingga menimbulkan persoalan dalam pelaksanaan program prioritas ini baca selengkapnya,21
54,membahas program makan bergizi gratis fathimah tak membantah niat baiknya ia justru mendiagnosis ulang lapar adalah gejala sedangkan akses pendidikan amp infrastruktur adalah akarnya cara pandang khas seorang dokter,21
55,dpr ri bersama badan gizi nasional berkomitmen matangkan skema program makan bergizi gratis fokus pada efektivitas distribusi amp pemenuhan standar gizi anak bangsa,21
56,perkuat mbg mendikdasmen dan bpom kolaborasi di program sosialisasi aman pangan sapa menteri pendidikan dasar dan menengah mendikdasmen abdul muti menegaskan komitmen pemerintah memperkuat keamanan pangan melalui kolaborasi dengan badan pengawas obat dan makanan bpom,21
57,kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg—mulai dari yayasan penyelenggara,21
58,program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,21
59,program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,15
60,program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,44
61,program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,15
62,lewat program makan bergizi gratis jambi memanfaatkan bahan pangan lokal untuk memenuhi kebutuhan gizi anak sekaligus membuka peluang lebih besar bagi petani peternak dan umkm daerah,22
63,program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,22
64,program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,21
65,jika si ibu dikasih modal usaha maka jajan amp makan bergizi adalah tangung jawab keluarga bkn tangung jawab negara negara bertangung jawab kpd rakyat pendidikan sduniversitas gratis kesempatan kerja amp usaha kesehatan publik servis keamanan amp ketertiban no mbg,27
66,harga sembako di pasar tradisional kabupaten lebak turun selama program makan bergizi gratis atau mbg libur sementara saat libur panjang sekolah ayam telur cabai dan sayuran kini lebih murah karena pasokan melimpah,27
67,kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,15
68,program makan bergizi gratis mbg nasional masih menghadapi tantangan serius mulai dari sasaran penerima yang kurang tepat manajemen rantai pasok yang kurang transparan hingga standar gizi dan keamanan pangan yang belum optimal pemerintah tengah berupaya restrukturisasi sist,26
69,kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg—mulai dari yayasan penyelenggara,27
70,demo para karyawan mbg di alun alun brebes hari minggu kemarin juni para karyawan tersebut menuntut agar program makan bergizi gratis tetap dilanjutkan,17
71,makan bergizi minus gratis hari ini grilled chicken with mushroom sauce pan grilled carrots with beans organic rice kalian hari ini makan siang apa,25
